Comment,Insult
"öncelikle gecmis olsun size ama su testisi su yolunda kırılır hesabı siz bu yaşadıklarınızı ve daha fazlasını sonuna kadar hakettiniz. ""Mustafa"" filmindeki emekleriniz karşılıksız kalmayacak. Atatürk'ün unutturulmaya ve haysiyetsizleştirilmeye çalışıldığı şu dönemde siz de payınıza düşenin daha da fazlasını yaptınız. Üstelik bütün ilkokul çocuklarına zorunlu olarak korku filmini anımsatan filminiz izlettirildi. Ne desem azdır.. Ne yaşasanız azdır.",1
"sana o gökyüzü bile fazla fetonun pici.bu ülkede yaptihini baska bir ulkede yapsaydin gökyüzünü degil kara toprağı görüyor, gozlerini karincalar oyuyor olurdu.okadar tirsak kendi golgesinden korkan biriyken birden aslan kesildin ama unutma el şeyiyle gerdege girilmez.o surekli kabiz olmusta ikiniyor gibi olan yuz ifaden yalanlarin kendi ulkene sonsuz ihanetin .nevar Allahaskina senin kasetlerinde de bukadar tirstin.karini taaa amerikalara gonderdin yalamaya.fazla sevinme canoglan daha durusmalarin var seni ne gulun danismani ne feto nede aym kurtaramaz dayanin 40 gun sonra kutulacaksiniz erdogandan demissin hayirdir bildigimiz kadariyla secim felan yok ne yapacaksiniz .darbemi.eee hani demekrasi hani insan haklari yoksa bunlar sizin icin amac degil aracmi tabikide öyle. Cooook erken otuyorsun canoglan coook.ve buralarda erken öten horozu sevmezler.bide hatirlatma sana senin sahiplerin darda kalinca ilk olarak senin gibi kamikaze kopeklerini hacadilar bak baransu ya hidayet karacaya.kimse deni yurtdisinada kacirmayacak turkiyede hapiste gececek omrun .sende sabret cok azkaldi hapse dönmeye",1
sonuna kadar helal olsun sana.  Sen kara toprağa bile fazlasın. Senin kalemin bizim ülkemize doğrular bır Silahtir. Allah seni şehid ailelerinin ahini çekmeyi nasip etsin,1
Bu adam vatarandasliktan cikarilsin gitsin baska ulkede gazetecilik yapsin seni bu memlekette istemiyoruz.,1
Ya sen ne saçma bi insansın ödülü gönüllülerin önünde nispet yaptırırcasına ünlülere anlattırman çok gereksizdi sen önce sunuculuk yapmayı öğren!!!,1
Ya lütfen sunarken çok fazla herşeyi söleme Acun bey gibi oyun esnasında az konuş her saniyesini anlatmak zorunda mısın valla kafamız şişiyo ????,1
ATAKANA KARSI ONCE ALGI YARATILMAYA CALISILDI SONRA SMSI DUSURULDU. HAKKIMIZI YEME ACUN ILICALI DAMLANIN ATAKANI GEÇMESİ IMKANSIZ,1
Bu bölümde atakana zayıf halka demesi ne kadar saçma nerde görüyo kendini bilmiyorum ama ünlüler takımına geldiğinden beri oyun kazanamzken atakana böyle karşı taraf olması çok saçma,1
Atakanın tişörtündeki köpeğinin bile semihten fazla takıma katkısı var ama çene başka bir işe yaramıyor ki it enayi fanları izin vermiyor bu başarısızın gitmesine,1
Karaktersiz ! Ucube ucuz insansın semih ! Kalitesizsin işe yaramazsın . Senden bi ?? olmaz. Sana oy verenlerin de pislik herif. Ay resmen senden midemiz bulanıyor !! Vücut şeklin bile bozukken karakterin nasıl düzgün olsun senin ! Adi pislik !,1
Şu herifi tutanlar gram akıl yok sizde..Nesini seviyorsunuz anlamıyorumki.Evlat olsa sevilmez yemin ederim!!!Saygısızın terbiyesizin önde gideni.Efendilikten bahsediyor efendiliğin E Si yok kendisinde...Sinir bozmaktan başka Bi işe yaramıyor..,1
Serkayın kendine ettiği kufru semihin o yahudi suretine ve varsayımdan ibaret kişiliğine transfer ediyorum. Dunyanın en ağır kufrlerine layiksin Semik.,1
Senin gibi bir adam ben hayatimda gormedim insan bile diyemiyorum sana tam bi beyin ozurlu fesat birisin seytan kari olsan yeminle iyi kivirirmissin,1
Semih adamliktan cok kadınca fikirler üreterek. Fitne ve yalanlariyla elencek onu da dinlicez panoramada pek yakında!!!!!!,1
Semih diyorki ben buraya geldigimde TANINAN biriydim diyor. Cok haklisin semih. 70 milyonun onunde masturbasyon yaptin pislik herif. Seni kim tanimaz pislik.,1
Artik yaşlandin be bengü??,1
haddini bil terbiyesizligin luzumu yok ....!!!,1
Yaşlı kadınlar gençlerle evleniyor ki egolari yukselsin :) kompleks:),1
Kocalarından hergün dayak yiyip değer görmedikleri güzel ve huzurlu olmadıkları için öfkelerini buraya kusuyor zavallılar??,1
Hayat bir dizide oyna sonra prenses gibi yasa ne kolay bazıları icin hayat ...harranli minik yavrular icin kac kere yazdım bi cvp vermediniz o maliniz mulkunuz paraniz olmuş ne çıkar soguk ta bi terlikle okula giden yavrulara iki ayakkabi almadiktan sonra ...ama sizde hersey son moda !,1
"Bu kadar burnu havada olmasan aslında herkesin ön yargıları da kırılır, belki de ben yanlış anladım bilmiyorum yine de güzel bi kadın ve annesin o konuda bi şey diyemem yazasım geldi böyle",1
Ne olur daha fazla estetik yaptırma başka bir insan olmuşsun sen zaten çok güzelsin bi yaşta kendinle bukadar oynama gerçek güzelliğine inan yazık oluyor.,1
Eski fotoğraflara göre çok farklı. Ust dudak kötü olmuş bence.,1
Sizi beğeniyordum ancak artık aşırı zayifliginiz sizi iticilestiriyor gerdanda kemiklerinin çıkması kucuk göğüsle boyle bir elbiseyi taşıyamamış sinir,1
tanıyamadım Nasıl bir botoks ??,1
"Çok hoş görünmesine rağmen biraz daha derinlere indiğimizde görüyoruz ki eski yüz ifadesi kalmamış. Anti-aging İşlemler için erken değilmi, en azından doğallığını kaybedecek kadar olması ????",1
siz nasıl bir hayvansınız ya !!!! Irz düşmanları ahlaksız sapıklar,1
Aç köpek böyle erkeklerden üremeleri ve allahtan diliyorum ki siz kime böyle cümleler kurarsaniz sizin gibi aşağılık kisilikler sizin ananiza baciniza kariniza aynı cümleyi kursun bakim ozan ne hissedeceksiniz beyniniz uçkurunuz olmuş köpek,1
Kuliste yazıyor zaten içindeki kıyafet kirlenmesin diye sabahlıgını giymiş ama sizin gibi basitler ne anlar yazık nekadar pislik beyin var ben utanıyorum,1
Seni adi köpek ittt şerefsiz sizin gibler yüzünden ülkede neler yaşandı tetörist sapık annen baban seni dogurdugu için utanmalı,1
Bittin bu şekilde gündem olurum bunun peşindesin sana edecek çok o kadar cümle var ki senin ve senin gibiler Beyninizi yitirenler grubu....,1
Aaaaaaaaa ?????????? pis kokular geliyor yine acaba nedir nedirrrrr ????????,1
Laf soktum sanıp bizi eğlendiren adam gibi adam sen de olmazsan seyyar kapak instegram sayfasında kime gulecegiz ??????,1
"Bu kadar haksızlık yapmayı nasıl taşıyacaksınız. İnsan allahtan korkar. Nazlısultanın kıyafeti resmen dönemdi. Onbinlira gülşahın hakkıydı. Ayıp ettiniz. Ayıp. Günahh dersiniz hep. Günahtan ""sözde"" korkuyorsunuz özde değil",1
Kul hakkından nasıl kurtulacaksın nur yerlitaş ayşenura tek laf etme gülşahı yerin dibine koy. Allah kabul etmez. Sevdiklerine tek laf etmiyorsun sevmediklerini yerin dibine batır!!!!!!! Allah kabul etmesin,1
Saf gülşahı tuzağa düşürdünüz yine giriş yapıp konuşturdunuz.retro en kolay diyince şık olduk. Pesssss. Bir abiye retro giyip gelsene. Jüri olmak başka şey adil olmak başka şey. Allahtan korkun biraz. Tamam gülşahın fanıyım ama sadece gülşaha değil sevdiğinizin kıyafetine büyük not verip benzerini yapanı yerden yere vuruyorsunuz. Biraz insaf biraz adalet....,1
eğer ayşenurun Kemal beye yaptığı konuşmayı başka bi yarışmacı yapsaydı onu ordan kovardın. Allah kabul etmesin sen ne biçim bir insansın o kızı kayır. Cehennem seni bekliyor,1
"Hakkaniyetsiz jür üyesi, bir de milanoya mı gittin? Bazılarına haksız verdiğin notlar sırtına ağır gelmiyormu oralarda ???",1
Çok büyük haksızlık yapıyorsun yazık ya hakeden kızlara düşük puan veriyorsun haketmeyen sana yağcilik yapan kızlara yüksek veriyorsun orda olmamalisin,1
"İkizlerin yüzde biri bile değildi buna rağmen 9 aldı,hırslı olabilir ama yeteneksiz,yürümeyi bile beceremeyen bir cazgır kız işte!!!",1
Ayşegülün bütün çirkefliğini herkese havlamasını yok sayıyosunuz böylece belliydi bi yerlerden torpilli olduğu şimdi arabayı kazandırmakla ki o kadar hak eden içinde kesinlik kazandırdınız emin olduk torpilli olduğunu o çirkin çirkef koca ağızlı tarzı olmayan ki yürümeyi bile bilmeyen kızın,1
Ayşegül sizlere paramı veriyor ya anlamadım nedir bu rezillik bir susturamıyorsunuz şu cadıyı sırf bu yüzden size olan saygım azaldı Susturun şu ayşegülü,1
Lütfen bir modacıdan yardım al nur ...bu kadar göz kirliliği olamaz...,1
Aaa adaletten bahseden sen misin ya nur hanim vallah çok haksizlik yapıyorsun ben bu kadar izliyorum sizde bir zeka görmüyorum işine geleni yapıyorsun nur hanim sizin yuzunuzden izlemeyecegiz bu programı ya siz kafayı yemişsiniz,1
Nur hanim o aysenura öylesine moral olsun diye puan veriyorsan seni oraya oturtan insana... birde adaletten bahsediyorsun ya senden o aysenurdan nefret ettik ya o kızı bir abart ne yapacan herkes ne yaptigini goruyor sen jüri diye seni oturtmayacaklardi haksızlık yapıyorsun,1
"Geçen sezonda Şerafettinova'yı çok konuştuğu, agresif davrandığı için diskalifiye etmiştiniz ve fakat Ayşegğl'ün agresif ve çşrkin tavırlarına dur diyemiyorsunuz!! PES!!!!!",1
ivana ya sormak istiyorumki aysenurun bugunku kostumunu nerde giyer. ulusal cocuk bayrami haricinde. dalga mi geciyorsunuz. ilk kez denk geldim programiniza şaşkınım..,1
SAYIN YERLİTAŞ HANIMEFENDİ ŞU ŞİRRET EDEPSİZ HADSİZ KUDUZ KÖPEK AYŞE GÜLÜ DAHA NE KADAR HAVLATIRACAKSINIZ LÜTFEN DIŞARDAN ÇOK RAHATSIZ OLUYORUZ KENDİNİ BİR ŞEY SANIYOR AMA BÜCÜR VE PAYTAK BACAKLI YÜRÜME ÖZÜRLÜ YETER ARTIK BİZ ONUN EDEPSİZLİĞİNİ DEĞİL ORDAKİ TARZI GÖRMEK İSTİYORUZ,1
Size soracağız programı izleyip izlemiyeceğimizi hem izler hem de eleştiririz. Önce edepli olmayı öğrensin. Annesiz yetişmesi insanları ısırması anlamına gelmez. Programa bu kadar para harcıyacağına psikoloğa gitsin.,1
Nur hanim annesiz buyumek cok aci anliyorum aysegulun bole herkesi seviyesizce asagliyacak anlamina gelmez edebsiz vede hirsli yuksek egosu var Bizler izledikce kanal reting alir bizlere yaptigin istemeyen izlemez oldu sizi dinliyecegiz izlemiycez artik size yakistiramadim etrafina bakiniz onca insan var anasiz babasiz buyuyen aysegul gibi 1tane goster pskolojik sorunu varsa dr gitsin efendim demegoji yapmayiniz Acun bey dusunsun artik bundan sonra izlemiyoruz,1
"Nur hanım hani bir laf vardır insan gördüğünden şaşmasın diye sanırım siz biraz şaştınız içinde bulunduğunuz bir program seyircisine tebiyesizlik ve saygısızlığı savunarak acındırdık yapmaya çalışarak git seyretme diyemezsiniz bu hem çalıştığınız tonlarca adaletsizce yaptığınızyorumlarla aldığınız paralara nankörlük ve de sizleri seyrederek bu programı biryerlere getiren bizlere o jüri koltuğundaki siz büyük BirSAYGISIZLIK etmiş bulunuyorsunuz bizler seyretmeyebiliriz zaten kavgalar ve seviyesizlik yüzünden artık içimizden de gelmiyor bıktık çünkü ,bir tuşa basmaya bakar bize göre hava hoş ama sizler daha ziyade siz Nur Hanım bizler sayesinde çıktığınız o yerden güm diye aşağı çakılıverirsiniz yanlız ekranlarda değil mesleğinizde bile git seyretme diye bağırdığın halk bir kere sizi kafaya takmaya görsün o yüzden saygısızlık yaptığınız bizlere acilen bir ÖZÜR BORÇLUSUNUZ sayın Nur Yerlitaş...",1
artık size inanmıyoruz bu kadar dönek davranamazsınız ne olduda ayşegül tarafı oldunuz ne oldu,1
çok çirkin ve yapmacıksın,1
Salak amk bu kadın kendini bişe sanıyo dana öküz yemiş yemiş sıçamamış,1
"Ayşegül'ü memnun etmek için Ezgi'yi birinci yaptınız.Yazıktır..!! yukarıda bir Allah var .Olmadık kusurlar bulmak için eveleyip gevelediniz.Bu gece TV de proğramı izlediğinizde umarım verdiğiniz kararın ne kadar hatalı ve vicdansızca olduğunu görüceksiniz.Emel çıkınca saaatlerce reklama girmeyi ,reyting yapmayı biliyorsunuz.İzlemiyecem ve izleyenlere sizleri izlememelerni sizin taraf olduğunuzu söyleyecem.Çevresi zengin elemanlar dan nedense çekiniyorsunuz.Başta Nur Hanım ve bütün jüri üyelerinin yaptığını hiç ahlaki bulmadım.PARANIZI HELALINDAN YEYİN ŞIMARMAYIN...",1
Nur bu ne ya biz mecburmuyuz moda programinda nihalin maymunluklarini yapmacik bu sene sizden nur beklemiyodum gecen sene onunuze gelen ozden sif ozdendiye nen bu kizi sevemiyom sinirlerimi bozuyo diyen nur simdi onunuzde gelen maymunluk yapiyon kendini hic bozmayan bi kemal var untmayin bizim sagesinde oldugunuz yerdesiniz nihal maymunluk asegul programin yarisi konusuyo circir nur yakistiramadim,1
İlk başlarda seviyodum seni ama artık nefret ediyorum çünkü sürekli kızları aşağılıyosun hakaret ediyosun kendini bişey zannediyosun ama alt tarafı modacısınki zaten nasıl modacısın hayret ediyorum babaannemin kıyafetlerini giyip kızların kıyafetlerine rüküş diyosun kıyafetlerine bisey demiyorum ama biraz saygılı ol bence bu kadar hakaret edip ezme kızları çünkü sen gözümde normal sıradan bi insansın senden daha üstünleri var unutma biraz İvana Sert gibi ol bence biraz insan ol.,1
"Nurhanım, neden gülşaha layık olduğu değeri vermiyorsunuz? Günah değil mi. Aynı durumda olan başka birine daha yüksek puan verip övüyorsunuz. Herkes fingirdek ve iltifatçı yağcı olamaz. Tarza bakılacaksa tarza bakın. Gülşahın hakkı yendi . Herkes biliyor bunu. İlk bölümde günah çıkardınız rahatladınızmı ? Lütfen adil olun. Jüride tek tarafsız kişi ivana bence... Allah size tarafsızlık vicdanı versin. Gece rahat uyumak için adaletttt",1
Allah seni ve o ekibini mahv etsin. Sizlar insan deyilsiniz ki. Her kasi yerin dibina sokub guluyorsunuz. Lanat lar olsun sizin gibi adamlara. Nasil ayjan nurjani elarsiniz. Sizda hich mi sheref yok. Hepiniz bi pokh deyilsiniz bunu bilin.,1
Senden tiksiniyom bok yığını nur yerlitas oturan Ayı birde o tiple kızların bazılarını begenmiyorsun ya komiksin komik bohçaci Naciye ne udugu belirsiz arap bozmasi sarlatan sen kimsin ya kim modacılari neyin var duyanda dünya modacısi sanar modacılar görse yüzüne s..c.z senin kadın desem değilsin inek desem değilsin ayisi ayi,1
"Nur hanım,geçen günki konuşmanız hiç hoş hoş değildi. Efendim, akşam mavi ile yatar sabah kırmızıyla kalkar boyacımı çağırırım.Efendim,Seda Sayan'ın evine giderim.Perdeler yeşil, bir hafta sonra gittiğimde mavi,işte biz böyle kadınlarız.Nur hanım bu olduğunuz yeri hazmemedemek.Bu tabiri caizse şımarıklıktır.Lütfen biraz mütevazı olun.",1
Niye kovuldun?iyi ki kovuldun. Adaletsizsin hakettiğini buldun.,1
Yazık nihal gibi birini finale biraktiniz size yalakalik yapiyor diye halkı yönlendirdiniz en iyiler sonuncu oldu harccadınız yazıklar olsun asla sizle ilgili bir programı izlemicem,1
Yarışma iğrenç bir daha izlemiyecem sizle kemal doğulu yu çıkarmaları hata hiç kimse beğenmedi,1
Kesge geri donmeseydiniz bahar sizi altust etmesine sahit olduk cok degistiniz nur juri olarak orda bi ivana adaletli siz ilk baslarda oyleydiniz ondan geri donup bi cocukdan korkan bi nur gorduk herkez bole dusunuyor yazik,1
katılıyorum daha önceki sezonlarda gerçekten bişeyler öğreniyorduk ama şu gördüğümüz manzara çok acı sizin gibi moda sektörüne adını altın harflerle yazdırmış birileri böle bu tarz insanlarla uğraşmamalı ve biz böle bahar yağmur gibi insan kılığına girmiş yaratıkları izlememeliyiz onları gördükçe başımıza taş yapıcak diyorum kaldıki hepsini geçtim acunun kanalında böle saçma çocuksu Türkçe katili insanlar yer almamalı,1
Can'dan ailesinin embesil kızlarına bu ilginiz neden bilmem ama o konuşunca kanal değiştiriyoruz yakında hiç seyretmeyeceğiz,1
Yazıklar sizi modacı diye sevecek izliyorduk yazıklar olsun  bahara tanıdığınız töleransa,1
Jüri üyesi olmak yarışmacıları aşağılayıp azarlamanızı gerektirmez.Asabi yapılı olabilirsiniz ancak siz de kendinizi kontrol etmelisiniz.Biraz İmana Sert den davranış tarzı öğrenin,1
kuzucuklarini al ikile lutven giderken nihalide al gotur aklim almiyor niye geldinizki sinirlrimizi germek icinmi bu taraflilik oyunmu oyunsa yazik senelerinizi vermissiniz 18 alt bi gerzek kiz geliyor yerle bir nur pes hersey para degil ha tavullarda pisti bu ara keske baska birsey dusunseymisimm,1
Bıktık bıktık kızlarımıza kötü örnek olan bahar ve nihal embesillerin neden siz ve acun için önemli bıktııııık. İçine ettiniz güzelim programı izlemiyorum.çocuk parkını kremi orası.çook ciddiyetsizssiniz.koruyorsunuz tüm Türkiye görüyor.şu özürlü tip olmasa şahane olacaktı,1
Carpılacaksın bu kadarda rahat olunmaz bide bunu böyle yayınlamak,1
Ya bunlara birilerinin artik dur demesi lazim buluğ cagindaki genç kızlar bunlati taklit ediyor.almus eline bide bir avuç renkli sekerlememi artik hapmi belli değil.yazik kizin yazik size sizin ananiz babaniz yokmu ortalik mali olmuşsunuz her gece bi yerlerde sabahliyosunuz,1
Bu ne ya orasını burasını açmış millete mi gösteriyorsun kendini ..azıcık edepli olun sizi toprak bile kabul etmiycek??,1
"Nihal, yasam tarziniz o kadar ozenti ki anlatamam. Gercekten uzuluyorum. Tabi ki ozgursunuz fakat yansittiginiz seyler ozentlilik yasitlara karsi bi seyler gosterme cabasi ve gittikce kendini dusurmek.",1
Sende onun gibi karaktersizsin seviyesizsin mahalle kadinlari gibi seviyesiz seviyesiz konuşuyor,1
"orada birincisi semih 2incisi nagihan en karaktersizi,nasil ya okadar kibir olor bir insada,sevdiginden degil de sadece bir bakici olarak baksan gororsun sende o kadar kendini begenen birisi yok o adada.her defasinda ben ben ben ben ben ya yeter ya kardeşim",1
Güçlülük sadece bilekte olmaz yürekte de olur.karaktersiz sporcu olmaz.sporcu çevik oldugu kadar ahlaklı olmalı,1
Sen ne adi bir kadınsın yaa nasıl bir insansın seni izledikçe gözlerime inanamıyorum sattığın insana gidip sütlaç için dil döküyorsun ya ne kadar yüzsüz bir insansın ya senin gibi kadın hatta insan olmaz olsun. Bir insanda ahlaki insani değer hiç mi olmaz ya.Yalan sende dedikodu sende.Sörvivor tarihinde senin kadar terbiyesiz bir insan gelmemiştir.İstersen 100 m de Usain Bold'yen rekorunu kır ne kıymeti var.Önce insan ol insan.,1
"Her ne kadar güçlü olsanda ben hayatımda senin kadar dedikoducu senin kadar dansöz gibi kıvıran arkalarından konuşup yüzlerine gülen bir insan görmedim,, hızlı güçlü olabilirsin ama karakterin o nolcak bir çizhin olsun",1
Resmen ego olarak geziyorsun ama fıslaman yakın siktir olup gideceksin,1
"Sana mı düştü peki? ya bu insanlar beyinlerini neden böyle pis düşünceler için kullanır ki. Lan sen canlı hayatının en üst modelisin sırf o kafanda taşıdığın şey sayesinde ama gel görelim ki onu insanlık adına kullanmayıp güzel şeyler düşünmeyip insanları küçük düşürmeye, ayrıştırma, yermeye, fesatlığa kullanıyosun. Kimse can sıkıntısından cinsiyet değiştirmez önce bi empati yeteneğini kullan ondan sonra düşün. Sen mükemmel bi mümin kardeşimiz misin? Kişi kendinden başlamalı dört dörtlük değilsen başkasında da kusur bulamaya hakkın yokk. Hatta dört dörtlük olsan bile hakkın yokk! Bırakın insanlar kendi hayatlarını istedikleri gibi yaşasın yeter be ! Dinine bağlı bi insansın madem önce o yüzündeki boydan kurtul başınada eşarbını tak bütün islami şartlarını yerine getir. Benden sana tavsiye azcık kitap oku belgesel izle şu aklını güzel şeylerle doldur.",1
"Keşfette gördüm geldim. Yorumlara bakıyorum. Ne kadar gerizekalı varsa buraya toplanmış. Yahu size para veripte mi yorum yaptırıyolar anlamıyorum. Size ne bu insanın hayatından, ne oldugundan? Ahlaksiz diyorsunuz bir suru sey diyorsunuz. Kaciniz ahlaka uygun yasiyorsunuz? Ahlak cercevesi icinde bir seyleri yapiyorsunuz. He kisi kendinden bilirmis, ahlaksiz oldugunuz icin bu insanada ahlaksiz etiketini yapistirabiliyorsunuz. Birakin insanlari İNSAN oldugu icin sevin. Birakin artik dijital ekranin ardindan insanlara psikolojik zarar vermeyi. Her seyden once bir dönün kendinize bakin, baskalarini yargilamak sonra haddinizeyse yaparsiniz. GERİZEKALİLAR!",1
kız kadar itici konuşmasını bilmeyen saygısız kalitesiz bir insan yok,1
YAZIK DEĞİL Mİ EVLENMEDEN ZİNA YAPIP BİR PİÇ ÇOCUK DÜNYAYA GETİRİYORSUNUZ,1
Aptal gereksiz insann,1
Hasbam bi film Çektin aldın muratı inşallah evlenemezsiniz o zamana geberirsin inşallah,1
"Salakmisin be sanki sanami kalmisti murat, bu kiz kadar güzel olda sen git bul birini terbiyesiz.",1
HİÇ YAKIŞMIORSUNUZ İNŞ AYRILIRSINIZ,1
pis kadın murat bozu kaptı hiç dururmu yakışıklı oğlanı kaptı film dedi aşka geçti,1
abi tamam anladık güzelsinde sen ve murat olurmu hiç bi kere zaten hadise varken murat senle neden sewgili oldu onu da nalamış değilim of...çok doluyum çok,1
kapattırmak nedir ya? Dukkan mı bu.. isteyen istedigi gibi giyinir buna ne sevgilisi ne kocası ne babası hicbir insan karısamaz hele hele dısardan birisi olarak yorum yapma hakkını kendinde nasıl buluyosun? kadınların kendi kararlarını vermesine basta diger kadınlar bile karısır olmus yazık,1
Kendi kafalarındaki kalıbın dışına çıkabilseler keşke : ),1
Allahım sen kimseyi dizideki karakterle kişi yaşamını karıştıracak kadar gerizekalı yapma,1
Utanmaz köpek özgenin bedduasi ne zaman tutcak ya ajshhsjah,1
Ne terbiyesiz insanlar var dünya da . Yakışır yakışmaz sanki size kaldı tasası. İnsan kimi severse o kişide güzellik görür. Bu kadar seviyesiz mesajlarinizi insanları incitmek için yazmayın. Kıskanç kadınların eleştirilerine bakınca profile bir bakıyorum üzülüyorum hallerine. Çirkin insan herkesi çirkin görürmüş.,1
Manyakmısınız siz ya o nedir bir fotomu beğenirmisin diye yalvarmalar başınız göğemi ericek ne biçim bir toplum olduk biz ya.....,1
Ne kadar salaksiniz ya. Kadinin sayfadina gelmis bidi bidi hala Ahmet Mehmet diyosunuz. Gidin kimin hakkinda konustularsa onlara yazin Kadin sdecw sunuculugunu yapiyo. Rahat birakin bi bitmediniz be!!,1
